Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
290.93,0.1067,0.2239,0.2805,0.339,0.4314,0.4468,0.5719,0.6188,0.8457,0.8592,0.8906
291.32,0.1027,0.2213,0.2746,0.3314,0.4208,0.4352,0.5561,0.6002,0.8241,0.8341,0.8635
291.71,0.0991,0.2184,0.2691,0.3244,0.4106,0.424,0.5405,0.5824,0.8009,0.809,0.8367
292.1,0.0955,0.2157,0.264,0.3172,0.4011,0.413,0.5256,0.5645,0.7781,0.7845,0.8109
292.49,0.092,0.2131,0.2589,0.3101,0.3914,0.4022,0.5109,0.5471,0.755,0.7601,0.7854
292.88,0.089,0.2111,0.2544,0.3036,0.3823,0.3918,0.4966,0.5303,0.733,0.7366,0.7602
293.27,0.0859,0.2089,0.2498,0.2968,0.3734,0.382,0.4828,0.5147,0.7116,0.7139,0.736
293.66,0.0829,0.2064,0.2457,0.2904,0.3647,0.3724,0.4691,0.4987,0.69,0.6918,0.7127
294.05,0.0798,0.2043,0.2414,0.2845,0.3559,0.3627,0.456,0.483,0.6688,0.6703,0.6895
294.44,0.0767,0.202,0.2369,0.2784,0.3474,0.353,0.4424,0.4675,0.6479,0.6476,0.6658
294.83,0.0738,0.2001,0.2326,0.2724,0.3387,0.3441,0.4293,0.4524,0.6269,0.6254,0.6424
295.21,0.0707,0.198,0.2286,0.266,0.3306,0.3355,0.4165,0.4374,0.6054,0.6026,0.6194
295.6,0.068,0.1958,0.2253,0.2606,0.3222,0.3269,0.4042,0.4231,0.5838,0.5807,0.5966
295.99,0.0651,0.1942,0.2213,0.2547,0.3143,0.3182,0.3918,0.4086,0.5628,0.5584,0.5742
296.38,0.0623,0.1926,0.2178,0.2495,0.3062,0.3098,0.3795,0.3951,0.5421,0.5372,0.552
296.77,0.0595,0.1911,0.2142,0.2447,0.2987,0.3012,0.367,0.3811,0.5212,0.516,0.5296
297.16,0.0564,0.189,0.2105,0.2393,0.2909,0.2931,0.3549,0.3681,0.5001,0.4953,0.5076
297.55,0.0532,0.1872,0.2069,0.2344,0.2832,0.2845,0.3427,0.3544,0.479,0.4741,0.4853
297.94,0.0504,0.1855,0.2032,0.2289,0.2757,0.2763,0.3312,0.3412,0.4588,0.4528,0.463
298.33,0.0475,0.184,0.2,0.2239,0.2686,0.2688,0.3196,0.3281,0.4386,0.4322,0.4418
298.72,0.0452,0.1825,0.197,0.2195,0.2615,0.2616,0.3087,0.3156,0.4188,0.4125,0.4215
299.11,0.0426,0.1808,0.194,0.2147,0.2547,0.2541,0.2982,0.3036,0.3998,0.3926,0.4016
299.5,0.0403,0.1795,0.1911,0.2107,0.248,0.2472,0.2879,0.292,0.3817,0.3742,0.3816
299.88,0.0382,0.1784,0.1883,0.2063,0.2422,0.2406,0.2781,0.2804,0.3641,0.3559,0.3625
300.27,0.0361,0.1774,0.1859,0.2027,0.2367,0.2346,0.269,0.2698,0.3475,0.3386,0.3443
300.66,0.0337,0.1761,0.1835,0.1991,0.2307,0.2282,0.2597,0.259,0.3312,0.3213,0.327
301.05,0.0314,0.175,0.1813,0.1954,0.2251,0.2222,0.251,0.2491,0.3157,0.3051,0.3103
301.44,0.0295,0.1743,0.1793,0.192,0.2201,0.2168,0.2427,0.2392,0.3013,0.2897,0.2948
301.83,0.0275,0.1737,0.1771,0.1888,0.2156,0.2117,0.2349,0.2306,0.2875,0.2749,0.2799
302.22,0.0255,0.1733,0.1755,0.1865,0.2115,0.2072,0.2279,0.2225,0.2743,0.2616,0.2657
302.61,0.0237,0.1726,0.1743,0.184,0.2072,0.2026,0.221,0.2145,0.262,0.2486,0.2522
303,0.0218,0.1721,0.173,0.1813,0.2035,0.1988,0.2153,0.2073,0.2509,0.2369,0.2399
303.39,0.0204,0.1721,0.1726,0.1799,0.2007,0.1954,0.2097,0.2009,0.2406,0.2266,0.2285
303.77,0.0187,0.1719,0.1717,0.1779,0.1978,0.1919,0.2045,0.1947,0.2313,0.2167,0.2183
304.16,0.0169,0.1721,0.171,0.1766,0.1953,0.1888,0.1992,0.1895,0.2224,0.2077,0.2086
304.55,0.0155,0.1721,0.1705,0.1751,0.1928,0.1862,0.1945,0.1844,0.2146,0.1994,0.2
304.94,0.0147,0.1724,0.1706,0.1743,0.1915,0.1845,0.1909,0.1804,0.2076,0.1922,0.1919
305.33,0.0138,0.1723,0.1704,0.1735,0.1898,0.1828,0.1875,0.1763,0.2011,0.1851,0.1845
305.72,0.0125,0.1726,0.1704,0.1727,0.1884,0.1809,0.1844,0.1724,0.195,0.1785,0.1775
306.11,0.0125,0.1733,0.1713,0.1729,0.1874,0.1801,0.1823,0.1695,0.1901,0.1737,0.1719
306.5,0.012,0.1739,0.1716,0.1727,0.1865,0.1789,0.1801,0.1668,0.1855,0.1688,0.1667
306.88,0.0115,0.1745,0.1721,0.1727,0.1861,0.1782,0.1789,0.1649,0.1816,0.1646,0.162
307.27,0.0107,0.1747,0.1726,0.1729,0.1856,0.1772,0.177,0.1629,0.1781,0.1607,0.1577
307.66,0.0101,0.1755,0.1732,0.1733,0.1854,0.177,0.1757,0.1607,0.1747,0.1574,0.1541
308.05,0.0097,0.1763,0.1742,0.1743,0.186,0.1769,0.1747,0.1594,0.1718,0.1544,0.1504
308.44,0.0094,0.1768,0.1752,0.1751,0.186,0.1772,0.1743,0.1584,0.1695,0.1517,0.1481
308.83,0.009,0.1778,0.1767,0.1762,0.1867,0.1772,0.1741,0.1575,0.1671,0.1497,0.1455
309.22,0.0085,0.1786,0.1777,0.1765,0.1871,0.1773,0.1737,0.1565,0.1653,0.1474,0.1431
309.61,0.0083,0.1797,0.1791,0.1776,0.1881,0.1779,0.1738,0.1561,0.1639,0.1461,0.1414
309.99,0.0085,0.1805,0.1806,0.1789,0.1888,0.1792,0.1742,0.1563,0.1629,0.1454,0.1402
310.38,0.0079,0.1812,0.1817,0.1796,0.1896,0.1795,0.1745,0.1561,0.1617,0.1441,0.1387
310.77,0.0075,0.1823,0.1831,0.1808,0.1904,0.1808,0.1746,0.1564,0.1611,0.1431,0.1377
311.16,0.0072,0.1829,0.1843,0.182,0.1912,0.1815,0.1745,0.1562,0.1598,0.1421,0.1367
311.55,0.0077,0.1843,0.1857,0.1836,0.1927,0.1827,0.1751,0.1567,0.1594,0.1415,0.1358
311.94,0.0075,0.1852,0.1868,0.1849,0.1938,0.1835,0.1756,0.1573,0.1591,0.1408,0.1351
312.32,0.0072,0.1861,0.1879,0.1859,0.194,0.1844,0.1762,0.1578,0.1584,0.1403,0.1347
312.71,0.0071,0.1868,0.1892,0.1868,0.1949,0.1854,0.1768,0.1584,0.1577,0.1397,0.134
313.1,0.007,0.1876,0.1903,0.1878,0.1957,0.1867,0.1776,0.159,0.1573,0.1391,0.1338
313.49,0.007,0.1885,0.1914,0.1893,0.1964,0.1877,0.1784,0.1597,0.1569,0.139,0.1333
313.88,0.0066,0.1894,0.1925,0.1903,0.1971,0.1882,0.1791,0.1601,0.1567,0.1385,0.133
314.27,0.0063,0.1904,0.1932,0.1913,0.198,0.1888,0.1794,0.1603,0.1563,0.138,0.1325
314.66,0.0059,0.191,0.1944,0.1927,0.1985,0.1896,0.1795,0.1606,0.1561,0.1377,0.1322
315.04,0.0057,0.1913,0.1957,0.1935,0.1995,0.1903,0.18,0.1609,0.1554,0.1374,0.1316
315.43,0.0054,0.1921,0.1966,0.1945,0.2004,0.1914,0.1806,0.1613,0.1554,0.1374,0.1313
315.82,0.005,0.1931,0.1978,0.1956,0.2011,0.1921,0.1812,0.162,0.1551,0.1373,0.1313
316.21,0.0048,0.1939,0.1991,0.1967,0.202,0.1927,0.1819,0.1624,0.1548,0.137,0.1313
316.6,0.0048,0.1952,0.2007,0.1978,0.2033,0.1938,0.1825,0.163,0.1549,0.137,0.1311
316.98,0.005,0.1964,0.2019,0.199,0.2041,0.1949,0.1831,0.1631,0.155,0.1375,0.1309
317.37,0.0046,0.1972,0.2028,0.1998,0.2047,0.1956,0.1834,0.1632,0.1547,0.1375,0.1305
317.76,0.0047,0.1982,0.2042,0.2011,0.2063,0.1968,0.184,0.1638,0.1549,0.1378,0.1311
318.15,0.0048,0.1992,0.2056,0.2026,0.2071,0.1982,0.1846,0.1646,0.1547,0.1378,0.131
318.54,0.0047,0.2001,0.207,0.2039,0.2082,0.1992,0.1851,0.1652,0.1543,0.1378,0.131
318.93,0.0043,0.2011,0.208,0.2045,0.2091,0.1998,0.1856,0.1655,0.1541,0.1378,0.1306
319.31,0.0042,0.2023,0.2092,0.2056,0.2099,0.201,0.1863,0.1661,0.1542,0.1379,0.1309
319.7,0.0047,0.2035,0.2109,0.2071,0.2112,0.2022,0.187,0.167,0.1543,0.1381,0.1313
320.09,0.0046,0.2043,0.212,0.2081,0.2124,0.2034,0.1876,0.1675,0.1544,0.1382,0.1315
320.48,0.0046,0.2055,0.2135,0.2092,0.2129,0.2046,0.1883,0.1682,0.1543,0.1384,0.1313
320.87,0.0045,0.2062,0.2145,0.2102,0.2135,0.2054,0.189,0.1685,0.1544,0.1383,0.131
321.25,0.004,0.2072,0.2155,0.2112,0.2145,0.2059,0.1894,0.1691,0.1542,0.138,0.1312
321.64,0.0043,0.2085,0.217,0.2128,0.2157,0.2071,0.1904,0.1704,0.1543,0.1386,0.1313
322.03,0.0041,0.2098,0.2185,0.2137,0.2162,0.208,0.191,0.1711,0.154,0.1387,0.1311
322.42,0.0039,0.2111,0.2196,0.2145,0.2169,0.2087,0.1918,0.1716,0.1539,0.1386,0.1313
322.81,0.0042,0.2124,0.2209,0.2156,0.2176,0.2097,0.1924,0.1722,0.1541,0.1391,0.1316
323.19,0.0042,0.2133,0.2219,0.2166,0.2183,0.2107,0.1931,0.1726,0.1538,0.1391,0.1317
323.58,0.0043,0.2144,0.2233,0.218,0.2191,0.2116,0.1938,0.1729,0.1537,0.1393,0.1317
323.97,0.004,0.2155,0.2241,0.2186,0.2197,0.212,0.1942,0.1734,0.1538,0.1392,0.1314
324.36,0.0038,0.2164,0.2252,0.219,0.2199,0.2128,0.195,0.1738,0.1533,0.1392,0.1312
324.75,0.0036,0.217,0.2258,0.2195,0.2209,0.2135,0.1954,0.174,0.1531,0.1392,0.1312
325.13,0.0035,0.2172,0.2263,0.2199,0.2212,0.2139,0.1953,0.1742,0.1527,0.1388,0.1311
325.52,0.0034,0.2178,0.227,0.2206,0.2219,0.2146,0.1955,0.1746,0.1525,0.1388,0.131
325.91,0.0033,0.2179,0.227,0.2206,0.2219,0.2148,0.1949,0.1739,0.152,0.1384,0.1307
326.3,0.0033,0.218,0.2271,0.2209,0.2222,0.2147,0.1948,0.1739,0.1518,0.1381,0.1306
326.69,0.0031,0.218,0.2269,0.2206,0.2222,0.2143,0.1943,0.1736,0.1512,0.138,0.13
327.07,0.003,0.2178,0.227,0.2209,0.2224,0.2144,0.1939,0.1736,0.1511,0.1376,0.1296
327.46,0.003,0.2179,0.2267,0.2208,0.2221,0.2144,0.1935,0.1736,0.1507,0.1372,0.1291
327.85,0.0031,0.2172,0.2257,0.2199,0.2216,0.2135,0.1927,0.1731,0.1497,0.1366,0.1284
328.24,0.0032,0.2166,0.225,0.2191,0.2208,0.2129,0.1921,0.1724,0.1487,0.1361,0.128
328.62,0.0031,0.2155,0.2238,0.2181,0.22,0.2118,0.1906,0.1713,0.1478,0.135,0.1271
329.01,0.0032,0.2145,0.2226,0.2166,0.2181,0.2106,0.1895,0.1702,0.1466,0.1336,0.1258
329.4,0.0031,0.2141,0.221,0.2154,0.2172,0.2095,0.1885,0.169,0.1454,0.1331,0.1251
329.79,0.0033,0.2128,0.2196,0.2136,0.2155,0.2081,0.1872,0.1677,0.1443,0.132,0.1239
330.17,0.003,0.2111,0.218,0.2118,0.2137,0.206,0.186,0.1661,0.1425,0.1308,0.1228
330.56,0.0025,0.2092,0.2158,0.2094,0.2113,0.2042,0.1838,0.1642,0.1405,0.1291,0.1213
330.95,0.0029,0.2071,0.2136,0.2075,0.2093,0.2025,0.182,0.1626,0.139,0.1276,0.1201
331.34,0.003,0.2045,0.2109,0.2046,0.2064,0.1997,0.1799,0.1604,0.1363,0.1257,0.1182
331.72,0.0027,0.2022,0.2085,0.2016,0.2037,0.1971,0.1776,0.1582,0.134,0.1237,0.1166
332.11,0.0025,0.1995,0.2054,0.1988,0.2008,0.1945,0.175,0.1556,0.1317,0.1215,0.1146
332.5,0.002,0.1966,0.2019,0.1954,0.1973,0.1914,0.1718,0.1529,0.129,0.1195,0.1124
332.89,0.0019,0.1936,0.1985,0.1923,0.1939,0.1884,0.1689,0.1502,0.1267,0.1171,0.1103
333.27,0.0018,0.1907,0.1953,0.189,0.191,0.1851,0.166,0.1476,0.1238,0.1154,0.1085
333.66,0.0022,0.1876,0.1924,0.1855,0.1874,0.1818,0.1631,0.1451,0.1214,0.113,0.1065
334.05,0.0021,0.1842,0.1886,0.1814,0.1836,0.1783,0.1597,0.1421,0.1184,0.1106,0.104
334.44,0.0021,0.1812,0.1847,0.1775,0.1796,0.1751,0.1562,0.1394,0.1159,0.1078,0.1018
334.82,0.0023,0.1775,0.1807,0.1737,0.1758,0.1711,0.153,0.1363,0.113,0.1054,0.0992
335.21,0.0021,0.1739,0.1767,0.1698,0.1721,0.1677,0.1497,0.1329,0.1099,0.1027,0.0967
335.6,0.0013,0.1706,0.1725,0.1657,0.168,0.1639,0.1461,0.1293,0.1068,0.0999,0.0942
335.99,0.0015,0.1672,0.1686,0.1621,0.1648,0.1604,0.1431,0.126,0.1039,0.0975,0.092
336.37,0.0013,0.1639,0.1648,0.1583,0.161,0.1565,0.1397,0.123,0.1015,0.095,0.0899
336.76,0.0015,0.1605,0.1612,0.1548,0.1576,0.1529,0.1368,0.1199,0.0988,0.0922,0.088
337.15,0.0017,0.1572,0.1575,0.1513,0.1544,0.1493,0.1338,0.1169,0.0961,0.0899,0.0857
337.53,0.0016,0.1538,0.1536,0.1474,0.1507,0.1459,0.1305,0.1139,0.0936,0.0872,0.0834
337.92,0.0015,0.1507,0.1497,0.1441,0.1475,0.1427,0.1273,0.111,0.0911,0.0846,0.0813
338.31,0.0013,0.1475,0.1463,0.1411,0.1448,0.1392,0.1245,0.1082,0.0889,0.0823,0.0794
338.7,0.001,0.1443,0.1423,0.1374,0.1418,0.1358,0.1213,0.1053,0.0864,0.0798,0.077
339.08,0.001,0.1417,0.1394,0.1346,0.1389,0.1332,0.1189,0.103,0.0842,0.0777,0.0751
339.47,0.0011,0.1389,0.1363,0.1314,0.1357,0.1302,0.1162,0.1005,0.0823,0.0759,0.0737
339.86,0.0013,0.1365,0.1335,0.1289,0.1332,0.1276,0.1138,0.0983,0.0804,0.074,0.0718
340.24,0.0011,0.1336,0.13,0.1257,0.1302,0.1247,0.1109,0.0959,0.0785,0.0721,0.07
340.63,0.0011,0.1318,0.1275,0.1232,0.1277,0.1226,0.1087,0.0939,0.0763,0.0703,0.0683
341.02,0.0008,0.1289,0.1244,0.1204,0.1248,0.1199,0.1061,0.0916,0.0743,0.0684,0.0664
341.41,0.0003,0.1265,0.1217,0.1175,0.1223,0.1174,0.1038,0.0897,0.0722,0.0667,0.0647
341.79,0.0003,0.1242,0.1195,0.1152,0.1201,0.1152,0.1017,0.0877,0.0708,0.0653,0.0632
342.18,0.0001,0.1214,0.117,0.1123,0.1176,0.1127,0.1001,0.0856,0.0687,0.0636,0.0614
342.57,0.0002,0.1195,0.1147,0.1099,0.1148,0.1107,0.0978,0.0836,0.067,0.062,0.0599
342.95,0.0007,0.1177,0.1131,0.1081,0.1128,0.1089,0.0963,0.0818,0.0655,0.061,0.0591
343.34,0.0004,0.1156,0.1106,0.1057,0.1106,0.1065,0.094,0.0797,0.064,0.0593,0.0576
343.73,0.0004,0.1136,0.1085,0.1034,0.1085,0.1041,0.0918,0.0776,0.062,0.0577,0.0559
344.11,0.0006,0.112,0.1064,0.1008,0.1066,0.1022,0.0902,0.0763,0.0608,0.0565,0.0549
344.5,0.0007,0.1106,0.105,0.099,0.1047,0.1007,0.0887,0.0748,0.0596,0.0551,0.0537
344.89,0.0006,0.1087,0.1027,0.0968,0.1026,0.0985,0.087,0.073,0.0584,0.0541,0.0524
345.27,0.0009,0.1071,0.1015,0.0949,0.1012,0.097,0.0856,0.0717,0.0575,0.0528,0.0512
345.66,0.001,0.1054,0.0999,0.0936,0.0992,0.0955,0.0839,0.0703,0.0565,0.0518,0.0502
346.05,0.001,0.1037,0.0979,0.0917,0.0973,0.094,0.0821,0.0687,0.055,0.0507,0.049
346.43,0.0012,0.1026,0.0964,0.0903,0.0959,0.0925,0.0803,0.0673,0.054,0.0499,0.0481
346.82,0.0014,0.1013,0.0948,0.0888,0.0946,0.0909,0.0793,0.0661,0.0529,0.0488,0.0473
347.21,0.0008,0.0996,0.0929,0.087,0.093,0.0892,0.0778,0.0644,0.0517,0.0476,0.0458
347.59,0.001,0.0983,0.0916,0.0854,0.0916,0.0878,0.0767,0.0634,0.0508,0.0466,0.045
347.98,0.001,0.097,0.0904,0.0841,0.0905,0.0867,0.0757,0.0628,0.05,0.0456,0.0445
348.37,0.0011,0.0958,0.0894,0.0833,0.0894,0.0855,0.0747,0.0616,0.0494,0.0449,0.044
348.75,0.0013,0.0947,0.088,0.0821,0.0883,0.084,0.0734,0.0607,0.0482,0.0439,0.0434
349.14,0.0014,0.0928,0.0869,0.0808,0.0873,0.0827,0.0724,0.0597,0.0471,0.0426,0.0425
349.53,0.0015,0.0923,0.0856,0.0799,0.086,0.0818,0.0715,0.0587,0.046,0.0421,0.0422
349.91,0.0013,0.0914,0.0842,0.0782,0.0847,0.0802,0.0703,0.0574,0.0449,0.041,0.0412
350.3,0.0012,0.0906,0.0831,0.077,0.0838,0.0789,0.0696,0.0565,0.0442,0.0402,0.0406
350.69,0.001,0.0895,0.0819,0.0761,0.0825,0.0779,0.0686,0.0554,0.0434,0.0393,0.04
351.07,0.001,0.0885,0.0807,0.0751,0.0814,0.0769,0.0674,0.0544,0.0427,0.0384,0.0394
351.46,0.0015,0.0877,0.0798,0.0746,0.0803,0.0759,0.0664,0.0536,0.0422,0.0377,0.0389
351.85,0.0015,0.087,0.0788,0.0737,0.079,0.0748,0.0655,0.0526,0.0412,0.0372,0.0385
352.23,0.0019,0.086,0.0778,0.0728,0.0783,0.0739,0.0647,0.0516,0.0406,0.0366,0.0379
352.62,0.0014,0.0847,0.0761,0.0709,0.0765,0.0725,0.0633,0.0505,0.0393,0.0353,0.0365
353.01,0.0013,0.0834,0.0749,0.0698,0.0751,0.0714,0.0621,0.0494,0.0382,0.0345,0.0355
353.39,0.0012,0.0829,0.0734,0.0684,0.0738,0.0704,0.0609,0.048,0.0376,0.0339,0.0345
353.78,0.001,0.0814,0.0722,0.067,0.0727,0.0689,0.0595,0.0468,0.0368,0.0333,0.0337
354.16,0.0015,0.0807,0.0713,0.0663,0.072,0.0683,0.0589,0.046,0.0363,0.0329,0.0333
354.55,0.0017,0.0796,0.0699,0.065,0.0706,0.067,0.0575,0.0449,0.0351,0.0318,0.0324
354.94,0.0016,0.0785,0.0685,0.0635,0.0691,0.0655,0.0563,0.0439,0.0341,0.0314,0.0313
355.32,0.0016,0.0771,0.0673,0.0622,0.068,0.0645,0.0552,0.0429,0.033,0.0307,0.0307
355.71,0.0018,0.0759,0.0661,0.0606,0.0672,0.0638,0.0542,0.0422,0.032,0.0297,0.0299
356.1,0.0017,0.0749,0.0651,0.0594,0.0668,0.063,0.0533,0.041,0.0315,0.029,0.0291
356.48,0.0015,0.0737,0.0637,0.0579,0.0656,0.0618,0.0522,0.0399,0.0304,0.028,0.0279
356.87,0.0016,0.0726,0.063,0.057,0.0652,0.0609,0.0514,0.0384,0.0294,0.0276,0.0274
357.25,0.0015,0.0715,0.0621,0.056,0.0642,0.0601,0.0507,0.0373,0.0287,0.0266,0.0267
357.64,0.0017,0.0706,0.0611,0.0551,0.0632,0.059,0.0498,0.0368,0.0279,0.026,0.0262
358.03,0.0019,0.0696,0.0604,0.054,0.0624,0.0584,0.0494,0.0362,0.027,0.0253,0.0253
358.41,0.0019,0.0685,0.0598,0.053,0.0615,0.0576,0.0485,0.0354,0.0261,0.0246,0.0246
358.8,0.0018,0.0672,0.059,0.052,0.0605,0.0568,0.0476,0.0343,0.0256,0.0241,0.0242
359.18,0.002,0.0665,0.0586,0.0512,0.0599,0.0565,0.0472,0.0338,0.025,0.0234,0.024
359.57,0.0019,0.0654,0.0573,0.0499,0.0589,0.0552,0.0462,0.0327,0.024,0.0229,0.0233
359.96,0.0016,0.0648,0.0563,0.0491,0.0578,0.0542,0.0452,0.0319,0.023,0.0226,0.0226
360.34,0.0014,0.063,0.0549,0.0477,0.0559,0.053,0.0439,0.0308,0.0219,0.0215,0.0216
360.73,0.0011,0.0617,0.0537,0.0464,0.0546,0.0517,0.0428,0.03,0.0213,0.0209,0.0209
361.11,0.001,0.0604,0.0524,0.0452,0.0531,0.0507,0.0417,0.0295,0.021,0.0203,0.0205
361.5,0.0016,0.0597,0.0513,0.0442,0.0524,0.0497,0.0412,0.0291,0.021,0.02,0.0203
361.89,0.0019,0.0585,0.0504,0.0433,0.0512,0.0486,0.0402,0.0283,0.0202,0.0194,0.0198
362.27,0.0019,0.0575,0.0486,0.042,0.05,0.0469,0.0387,0.0272,0.0192,0.0186,0.0192
362.66,0.0018,0.0563,0.047,0.0405,0.0486,0.045,0.0375,0.0259,0.0183,0.0176,0.0187
363.04,0.0015,0.0551,0.0452,0.0392,0.0471,0.0437,0.0363,0.025,0.0172,0.017,0.0182
363.43,0.0017,0.0534,0.0437,0.0382,0.046,0.0422,0.035,0.0239,0.0167,0.0163,0.0174
363.81,0.0015,0.0524,0.0431,0.0372,0.0447,0.0413,0.0342,0.0233,0.016,0.0156,0.0166
364.2,0.0014,0.0509,0.0416,0.0357,0.0433,0.0397,0.0332,0.022,0.015,0.0141,0.0156
364.59,0.0016,0.05,0.0406,0.0345,0.0424,0.0385,0.0326,0.0211,0.0141,0.0136,0.0149
364.97,0.0018,0.0492,0.0399,0.0337,0.0413,0.0375,0.0319,0.0202,0.0134,0.0133,0.0145
365.36,0.0024,0.0487,0.039,0.0334,0.0405,0.0365,0.0314,0.0196,0.0127,0.0128,0.0141
365.74,0.0021,0.0473,0.0376,0.032,0.0392,0.0354,0.03,0.0185,0.0115,0.0123,0.0132
366.13,0.0018,0.0462,0.0365,0.0307,0.0383,0.0346,0.0288,0.0173,0.0107,0.0113,0.0126
366.51,0.0021,0.0454,0.036,0.0298,0.0375,0.0341,0.0284,0.0167,0.0105,0.0108,0.0123
366.9,0.002,0.0442,0.0352,0.0289,0.0367,0.0335,0.0279,0.0159,0.0101,0.0105,0.0119
367.29,0.0025,0.0436,0.0353,0.0284,0.0365,0.0333,0.0272,0.0154,0.01,0.01,0.0117
367.67,0.0018,0.043,0.0342,0.0275,0.0354,0.0324,0.0266,0.0145,0.009,0.0091,0.011
368.06,0.0018,0.0418,0.033,0.0264,0.0346,0.0316,0.0256,0.0135,0.0085,0.0082,0.0102
368.44,0.0021,0.0411,0.0325,0.0261,0.0344,0.0313,0.0253,0.0132,0.0084,0.0084,0.0104
368.83,0.0022,0.0404,0.0318,0.0258,0.034,0.0311,0.0248,0.0131,0.0085,0.0084,0.0104
369.21,0.0021,0.0395,0.0312,0.0252,0.0333,0.0304,0.0247,0.0125,0.0082,0.0079,0.0099
369.6,0.0017,0.038,0.0303,0.0241,0.0327,0.0298,0.0236,0.0116,0.0076,0.0074,0.0093
369.98,0.0012,0.0373,0.0297,0.0234,0.0319,0.0292,0.0231,0.0107,0.0073,0.0069,0.0092
370.37,0.001,0.0363,0.0289,0.0226,0.0314,0.0285,0.0227,0.0105,0.0068,0.0066,0.0088
370.75,0.0005,0.035,0.0279,0.022,0.0303,0.0277,0.0216,0.0096,0.0058,0.0057,0.0081
371.14,0.0002,0.0336,0.0269,0.0212,0.0295,0.0274,0.0206,0.0091,0.0051,0.005,0.0076
371.52,0,0.0325,0.0259,0.0206,0.0288,0.0268,0.0202,0.0086,0.0047,0.0044,0.0068
371.91,0.0003,0.0318,0.0258,0.0201,0.0284,0.0262,0.0198,0.0085,0.0048,0.0044,0.0069
372.29,0.0004,0.031,0.0252,0.0198,0.0277,0.0257,0.0195,0.0083,0.0045,0.0044,0.0066
372.68,0.0006,0.03,0.0251,0.0189,0.0273,0.0248,0.019,0.0075,0.0042,0.0043,0.0064
373.07,0.0003,0.029,0.0241,0.0181,0.0264,0.0239,0.0181,0.0066,0.0035,0.0037,0.0059
373.45,0.0005,0.0283,0.0232,0.0176,0.026,0.0236,0.0173,0.0062,0.0031,0.0032,0.0058
373.84,0.0003,0.0279,0.0226,0.0171,0.0258,0.0229,0.017,0.006,0.0028,0.0027,0.0056
374.22,0.0008,0.0271,0.0224,0.0165,0.0251,0.0227,0.0167,0.0059,0.0025,0.0025,0.005
374.61,0.001,0.0263,0.0222,0.0161,0.0248,0.0222,0.0165,0.0054,0.0023,0.0025,0.0047
374.99,0.001,0.0257,0.022,0.0159,0.0249,0.0219,0.0165,0.0054,0.0024,0.0026,0.0046
375.38,0.0017,0.0254,0.0218,0.0159,0.0249,0.0217,0.0166,0.0054,0.0026,0.0026,0.0044
375.76,0.0022,0.0252,0.0217,0.0157,0.0246,0.0215,0.017,0.0055,0.0025,0.003,0.0048
376.15,0.0022,0.0241,0.0209,0.0152,0.0242,0.0208,0.0163,0.0051,0.0016,0.0022,0.0043
376.53,0.0023,0.0235,0.0209,0.0148,0.024,0.0203,0.016,0.0047,0.0015,0.0018,0.0042
376.92,0.0019,0.0226,0.02,0.0144,0.0234,0.0202,0.0155,0.0045,0.001,0.0014,0.0036
377.3,0.002,0.0219,0.0197,0.014,0.0232,0.02,0.0153,0.0042,0.0008,0.0012,0.0035
377.69,0.0016,0.0205,0.0192,0.0132,0.0225,0.0192,0.0147,0.0038,0.0006,0.0009,0.0032
378.07,0.0021,0.0198,0.019,0.0131,0.0221,0.0189,0.0144,0.0034,0.0004,0.0009,0.0029
378.46,0.0018,0.0189,0.0184,0.0127,0.0221,0.0181,0.0139,0.0034,-0.0001,0.0004,0.0028
378.84,0.0011,0.018,0.0176,0.0125,0.0217,0.0175,0.0131,0.0029,-0.0006,0.0003,0.0028
379.23,0.0015,0.0175,0.0174,0.0123,0.0212,0.0172,0.0132,0.0028,-0.0004,0.0004,0.0029
379.61,0.0012,0.0168,0.017,0.0116,0.0207,0.0167,0.0131,0.0026,-0.0008,0.0002,0.0026
379.99,0.0007,0.0155,0.0161,0.0107,0.0199,0.0158,0.0123,0.0021,-0.0013,-0.0007,0.0018
380.38,0.0005,0.0149,0.0159,0.0104,0.0194,0.0157,0.0123,0.0014,-0.0012,-0.0007,0.0017
380.76,0.0002,0.0142,0.0152,0.0096,0.0189,0.0156,0.0119,0.0011,-0.0017,-0.0011,0.0017
381.15,0.0001,0.0136,0.0148,0.0092,0.0181,0.0148,0.0112,0.0004,-0.0022,-0.0016,0.0016
381.53,0.0001,0.0132,0.0152,0.0088,0.0177,0.0149,0.0113,0.0006,-0.0025,-0.0016,0.0012
381.92,0,0.0129,0.0149,0.0087,0.0175,0.0147,0.011,0.0004,-0.003,-0.0019,0.0013
382.3,-0.0005,0.0122,0.0144,0.0081,0.0171,0.0144,0.0109,-0.0002,-0.0036,-0.0024,0.0008
382.69,-0.0003,0.0118,0.0141,0.0079,0.0167,0.0143,0.0107,-0.0007,-0.0034,-0.0024,0.0009
383.07,0.0004,0.0115,0.0143,0.0079,0.0164,0.0145,0.0112,-0.0007,-0.0029,-0.0026,0.0008
