Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
220.58,0.0204,0.0423,0.0783,0.0636,0.0791,0.0723,0.0675,0.0441,0.0558,0.0589,0.0591
220.97,0.0235,0.0459,0.0779,0.0673,0.081,0.0761,0.0718,0.0482,0.0599,0.0643,0.0637
221.37,0.0225,0.0398,0.0823,0.0704,0.0824,0.0746,0.0717,0.047,0.061,0.0635,0.065
221.76,0.0221,0.0407,0.0816,0.0684,0.0838,0.0777,0.0718,0.0448,0.0621,0.0623,0.06
222.15,0.0195,0.0373,0.0808,0.0647,0.0802,0.0806,0.0706,0.0416,0.0564,0.0612,0.0584
222.54,0.0186,0.037,0.0823,0.0681,0.0801,0.081,0.0692,0.046,0.0586,0.0598,0.0595
222.93,0.0229,0.0382,0.0897,0.0674,0.0796,0.079,0.0737,0.0501,0.0545,0.0592,0.0623
223.33,0.0289,0.0424,0.0956,0.0721,0.0881,0.0841,0.0783,0.0552,0.0574,0.0646,0.0657
223.72,0.0249,0.044,0.0934,0.0727,0.0884,0.0817,0.0746,0.0487,0.0547,0.0629,0.0644
224.11,0.0245,0.044,0.0934,0.0737,0.089,0.0809,0.0728,0.0474,0.0559,0.0624,0.0635
224.5,0.0295,0.0438,0.0915,0.0726,0.0954,0.0861,0.074,0.0519,0.0608,0.0658,0.0616
224.89,0.0276,0.0416,0.0902,0.0713,0.0945,0.0887,0.0768,0.0567,0.0589,0.0682,0.0614
225.29,0.0222,0.0385,0.0871,0.07,0.0929,0.0863,0.0725,0.0543,0.0545,0.0653,0.0598
225.68,0.0255,0.0407,0.0841,0.0715,0.097,0.0958,0.0749,0.0567,0.0563,0.0654,0.0599
226.07,0.0276,0.0409,0.0901,0.0735,0.1,0.0964,0.0764,0.0586,0.0571,0.065,0.0623
226.46,0.0329,0.0431,0.0887,0.0743,0.1004,0.0949,0.0761,0.0659,0.0645,0.0685,0.0641
226.85,0.034,0.0443,0.0849,0.0732,0.0988,0.0938,0.0782,0.0631,0.0601,0.0695,0.065
227.25,0.0303,0.0441,0.0804,0.0743,0.1003,0.0952,0.0724,0.0612,0.0604,0.07,0.0635
227.64,0.0264,0.0407,0.0768,0.0687,0.0984,0.0928,0.0704,0.055,0.0572,0.0652,0.06
228.03,0.0292,0.0414,0.0762,0.0682,0.0971,0.0994,0.0737,0.0605,0.0582,0.0666,0.061
228.42,0.0322,0.0447,0.0775,0.0697,0.0983,0.0995,0.0776,0.067,0.056,0.0716,0.0634
228.81,0.0263,0.0465,0.0787,0.073,0.0958,0.0934,0.0774,0.064,0.0561,0.0709,0.065
